LONGITUD	LATITUD	ALIASCAMARA
6.235925	-75.575137	Mediterraneo
6.235925	-75.575137	Fabrica de Licores
6.207424	-75.589221	CAMPOS DE PAZ
6.186886	-75.561835	COMPLEX
6.238922	-75.596935	LOS ALMENDROS
6.244196	-75.606684	SIMON BOLIVAR
6.2412	-75.56965	ORIENTAL POR HUESOS
6.213157	-75.576821	MONTERREY
6.22	-75.57676	SERVIENTREGA - D
6.24417	-75.56998	PALACE POR SAN JUAN
6.25039	-75.57271	TENERIFE POR AYACUCHO
6.26146	-75.5642	GUAYABAL
6.29511	-75.56755	TRICENTENARIO
6.21587	-75.57813	ARGOS
6.23117	-75.56997	CARNEVALE
6.25497	-75563	TURANTIOQUIA
6.20894	-75.55959	PINAR DEL RIO
6.1857	-75.57	MALL CAMPESTRE
6.23872	-75.59023	BULERIAS
6.276353	-75.573492	CEMENTERIO UNIVERSAL
6.245862	-75.573025	ALPUJARRA
6.229086	-75.571518	PREMIUM PLAZA
6.249307	-75.588856	Exito de la 70
6.226848	-75.547851	CRISTO REY N-S
6.20657	-75.586131	CRISTO REY S-N
6.2393	-75.5736	TRIADAS
6.24453	-75.57082	BOLIVAR POR SAN JUAN
6.21247	-75.57471	Exito del Poblado
6.2878	-75.5698	PROENVASES
6.22	-75.57676	SERVIENTREGA (R)
6192	-75.5674	LOS BALSOS
6.25611	-75.58099	MOTOMARINA
6.2433	-75.6025	DON QUIJOTE
6.264515	-75.567323	BARRANQUILLA
6.253083	-75.587965	ESTACION ESTADIO
6.253168	-75.562302	ORIENTAL POR ARGENTINA
6.2196	-75.599	LA MOTA
6.24516	-75.56619	PALO POR EL HUEVO
6.18875	-75.58305	TUGO
6.2389	-75.57755	REGIONAL POR LA 33
6.23643	-75.57603	PUENTE DE GUAYAQUIL
6.2708	-75.5716	TRANSITO MEDELLIN (AUTOPISTA)
6.24704	-75.56501	AYACUCHO POR EL PALO
6.2202	-75.5665	LAS PALMAS
6.295229	-75.567779	CASTILLA
6.301436	-75.566304	ZENU
6.261455	-75.564201	HOSPITAL SAN VICENTE
6.25037	-75.57272	COLOMBIA POR TENEFIRE
6.27058	-75.57151	TRANSITO MEDELLIN (REGIONAL)
6.25799	-75.57215	MINORISTA
6.245862	-75.573025	ALPUJARRA - R
6.21795	-75.57534	BOMBA ESSO - LAS VEGAS
6.20987	-75.57094	PARQUE DEL POBLADO
6.23146	-75.58731	Fatima
6.2276	-75.5834	BARRIO ANTIOQUIA
6.2317	-75.5963	METROPLUS BELEN
6.2097	-75.5656	10 HOTEL
6.2098	-75.5682	MONDONGOS
6.25605	-75.58114	SAUCES
6.25	-75.5971	TEATRO AMERICA
6.190085	-75.582638	TUGO II
6.215886	-75.552608	CHUSCALITO LAS PALMAS
6.28779	-75.569788	BOMBA TEXACO AUTOPISTA NORTE
6.289417	-75.570327	PARQUE JUANES
6.203492	-75.579923	CARREFOUR APOLO - PUENTE 4 SUR
6.222679	-75.591932	AEROPARQUE JUAN PABLO II
6.277354	-75.589461	DONA MARIA
6.290024	-75.565305	ESTACION METRO TRICENTENARIO
6.259729	-75.58272	LA IGUANA
6.259729	-75.58272	VIA TUNEL DE OCCIDENTE - OCC/ORI
6.238407	-75.573431	EXPOSICIONES
6.222478	-75.579693	ZOOLOGICO SANTA FE
6.279127	-75.644.05	VIA TUNEL DE OCCIDENTE - ORI/OCC
6.274612	-75.570458	REGIONAL BOMBEROS CARIBE
6.261484	-75.556477	PALOS VERDES
6.22018	-75.580224	BODEGAS OLAYA
6.189821	-75.580224	TRANSVERSAL SUPERIOR
